          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
    3.160    10    10    10.0    100  27591 |   10  3161    0.0031    0.0003    0.0000 |
    3.170    10    10    10.0    100  27691 |   10  3171    0.0035    0.0004    0.0000 |
    3.180    10    10    10.0    100  27791 |   10  3181    0.0035    0.0004    0.0000 |
    3.190    10    10    10.0    100  27891 |   10  3191    0.0031    0.0003    0.0000 |
    3.200    10    10    10.0    100  27991 |   10  3201    0.0031    0.0003    0.0000 |
    3.210    10    10    10.0    100  28091 |   10  3211    0.0032    0.0003    0.0000 |
    3.220    10    10    10.0    100  28191 |   10  3221    0.0034    0.0003    0.0000 |
    3.230    10    10    10.0    100  28291 |   10  3231    0.0031    0.0003    0.0000 |
    3.240    10    10    10.0    100  28391 |   10  3241    0.0031    0.0003    0.0000 |
    3.250    10    10    10.0    100  28491 |   10  3251    0.0032    0.0003    0.0000 |
    3.260    10    10    10.0    100  28591 |   10  3261    0.0030    0.0003    0.0000 |
    3.270    10    10    10.0    100  28691 |   10  3271    0.0028    0.0003    0.0000 |
    3.280    10    10    10.0    100  28791 |   10  3281    0.0035    0.0003    0.0000 |
